Sampler Name,Sampling Period Concentration (µg/m3),Cancers per million,Cancers one in,Sampling Period Start Date
PAH04_230103_S,113.12700402835067,56563.502014175334,18.0,2023-01-03 00:00:00
PAH04_221025_S,99.62358826499774,49811.794132498864,20.0,2022-10-25 00:00:00
PAH04_221011_S,87.26822399535608,43634.11199767804,23.0,2022-10-11 00:00:00
PAH04_221219_S,66.8738812730971,33436.94063654855,30.0,2022-12-19 00:00:00
PAH04_221206_S,54.76302489921018,27381.51244960509,37.0,2022-12-06 00:00:00
PAH04_221122_S,47.77865081333679,23889.325406668395,42.0,2022-11-22 00:00:00
PAH04_221108_S,42.38246290656015,21191.231453280074,47.0,2022-11-08 00:00:00
PAH02_221108_S,32.42605453576761,16213.027267883806,62.0,2022-11-08 00:00:00
PAH02_221011_S,16.652651081672047,8326.325540836024,120.0,2022-10-11 00:00:00
PAH03_221025_S,12.448695262401737,6224.347631200868,161.0,2022-10-25 00:00:00
PAH03_221011_S,11.697042066576316,5848.521033288158,171.0,2022-10-11 00:00:00
PAH02_230103_S,10.495053953750656,5247.526976875328,191.0,2023-01-03 00:00:00
PAH02_221206_S,7.610544561005149,3805.2722805025746,263.0,2022-12-06 00:00:00
PAH02_221122_S,7.206300374287651,3603.1501871438254,278.0,2022-11-22 00:00:00
PAH03_230103_S,7.092826682011147,3546.4133410055733,282.0,2023-01-03 00:00:00
PAH03_221108_S,3.675188266418876,1837.594133209438,544.0,2022-11-08 00:00:00
PAH03_221122_S,3.033889499799096,1516.944749899548,659.0,2022-11-22 00:00:00
PAH02_221025_S,2.870534462350888,1435.2672311754438,697.0,2022-10-25 00:00:00
PAH03_221206_S,2.5540373056070163,1277.018652803508,783.0,2022-12-06 00:00:00
PAH02_221219_S,1.915745361971684,957.872680985842,1044.0,2022-12-19 00:00:00
PAH01_221206_S,1.267514087479545,633.7570437397725,1578.0,2022-12-06 00:00:00
PAH01_221108_S,1.1756515431547434,587.8257715773717,1701.0,2022-11-08 00:00:00
PAH03_221219_S,0.9344030043318237,467.20150216591185,2140.0,2022-12-19 00:00:00
PAH01_221025_S,0.5317368541103272,265.86842705516364,3761.0,2022-10-25 00:00:00
PAH01_221011_S,0.5245645254865938,262.2822627432969,3813.0,2022-10-11 00:00:00
PAH01_221122_S,0.37613772228141773,188.06886114070886,5317.0,2022-11-22 00:00:00
PAH01_221219_S,0.12853340724412826,64.26670362206413,15560.0,2022-12-19 00:00:00
PAH01_230103_S,0.0,0.0,inf,2023-01-03 00:00:00
